序号,药品名称,规格,单位,单价,生产厂家
62,护肝片,0.36g*100p,瓶,20.49,上海宝龙安庆药业有限
63,花红颗粒,每袋装2.5g（无蔗糖）,12袋/盒,22.49,广西壮族自治区花红药业股份有限公司
64,华佗再造丸,8g12袋,盒,68,广州白云山制药股份有限公司广州白云山制药总厂
65,滑膜炎颗粒,6g*6d,盒,60,神威药业有限公司
66,槐角丸,9g10丸,盒,5.93,山西天生制药有限责任公司
67,黄体酮注射液,20mg,盒,3.6,浙江仙居制药有限公司
68,活心丸,20mg*30片,盒,46.02,广州悦康生物制药有限公司
69,藿胆丸,36g,瓶,5.8,武汉太福
70,藿香正气水,10ml*10支,盒,6,四川泰华堂
71,藿香正气软胶囊,0.45*24粒,盒,17.44,神威药业有限公司
72,急支糖浆,200ml,瓶,45,太极集团重庆涪陵制药厂有限公司
73,加味左金丸,6*12袋,盒,24.53,江西药都樟树药业
74,甲硝唑氯化钠注射液,100ml*0.5g,瓶,2.97,石家庄四药股份有限公司
75,甲硝唑栓,0.5g*10粒,盒,5.5,马应龙药业
76,健儿消食口服液,10ml*10z,盒,14.35,回音必集团安徽制药有限公司
77,健脾生血颗粒,5g*36袋,盒,34.02,健民药业
78,健脾生血片,每片重0.6克,36片/盒,24.27,健民药业集团股份有限公司
79,接骨七厘丸,每袋装1.5克,盒,20.93,洛阳顺势药业有限公司
80,金匮肾气丸,60g,瓶,21.99,药都制药
81,金芪降糖片,36片,盒,53.64,天津中新药业集团有限公司
82,金钱胆通颗粒,8g*10袋,盒,58.75,贵州威门药业
83,金叶败毒颗粒,每袋装10g*8袋,盒,49.8,国药集团中联药业有限公司
84,京万红软膏,每支装50g,1支/盒,67.5,天津达仁堂京万红药业有限公司
85,颈复康颗粒,5g*10d,盒,20.34,承德颈复康药业集团有限公司
86,九味羌活颗粒,5g*20袋,盒,28.8,九寨沟天然药业
87,橘红颗粒,11g*12袋,盒,21.4,云南海沣
88,橘红丸,6g*10丸,盒,5.1,山西天生制药有限责任公司
89,开塞露,20ml,支,1.3,上海运佳
90,口服补液盐散,5.125g*6袋,盒,31.29,西安安健有限公司
91,口炎清颗粒,10g*12袋,盒,25.34,广州白云山制药股份有限公司广州白云山制药总厂
92,坤泰胶囊,每粒装0.5g,36粒/盒,26.89,贵阳新天药业股份有限公司
93,来氟米特片,10mg*12片,盒,28.7,美罗药业有限公司
94,连花清瘟胶囊,0.35g24,盒,11.09,石家庄以岭药业股份有限公司
95,连花清瘟颗粒,每袋装6g,盒,23.57,北京以岭药业有限公司
96,硝苯地平缓释片,20mg*45片/盒,盒,13.9,德州博诚制药有限
97,六味地黄丸,9g*10丸,盒,6.15,山西天生制药有限责任公司
98,六味地黄丸,180丸,盒,21.8,上海宝龙
99,癃清胶囊,0.6g*48片,盒,39.64,贵州远程制药有
100,螺内酯片,20mg*100片,瓶,13.9525,贵州远程制药
101,09%氯化钠注射液,100ml,80袋/件,4.3,石家庄四药股份有限公司
102,09%氯化钠注射液,250ml,60袋/件,69,石家庄四药股份有限公司
103,09%氯化钠注射液,500ml,30/件,44.41,石家庄四药股份有限公司
104,09%氯化钠注射液,500ml,30/件,59.4,石家庄四药股份有限公司
105,麻仁润肠丸,6g*10丸,盒,6.7,山西天生制药有限责任公司
106,马来酸依那普利叶酸片,10mg*7t,盒,33.53,深圳奥萨制药
107,马应龙麝香痔疮膏,24g,盒,20.68,马应龙药业
108,明目地黄丸,9g*10丸,盒,5.51,山西天生制药有限责任公司
109,莫匹罗星软膏,10g,支,20.18,
110,脑安滴丸,50mg,盒,25.91,安徽意隆亚东
111,脑心通胶囊,0.4g*36粒,盒,26,陕西步长制药有限公司
112,牛黄解毒胶囊,0.3g*12粒*4板,盒,31.99,贵州济生药业有限公司
113,牛黄解毒丸,3克*10丸,盒,4.66,山西天生制药有限责任公司
114,牛黄清感胶囊,每粒装0.3g,36粒/盒,23.76,黑龙江澳利达奈德制药有限公司
115,牛黄上清胶囊,0.3g*36粒,盒,21.36,江西康恩贝
116,牛黄上清丸,6克*10丸,盒,5.1,山西天生制药有限责任公司
117,排石颗粒,5g*12袋,盒,29.2,南京同仁堂药业有限公司
118,匹维溴铵片,50mg*20片,盒,29.37,北京福元医药
119,葡萄糖酸钙片,0.5g*100t,瓶,19.9,天津力生制药股份有限公司
120,葡萄糖酸钙注射液,1g,支,9.6,
121,葡萄糖注射液,20ml,支,1.13,
122,普乐安片,,瓶,0,
123,芪参益气滴丸,0.5g*15袋,盒,33.29,天士力医药集团
124,芪苈强心胶囊,每粒装0.3g,36粒/盒,32.74,石家庄以岭药业股份有限公司
125,杞菊地黄丸,9克*10丸,盒,6.2,山西天生制药有限责任公司
126,气滞胃痛片,0.5*30片,盒,45,辽宁华润本溪三药有限公司
127,氢氯噻嗪片,10mg*100s,瓶,4.4,山西云鹏
128,清开灵颗粒,3g*24袋,盒,30.36,哈尔滨一洲制药
129,清热八味胶囊,0.3g*12袋,盒,35,内蒙古奥特奇蒙古药业
130,清宣止咳颗粒,10g,6袋/盒,18.21,江苏苏中药业集团股份有限公司
131,乳酶生片,0.3g*60片,盒,29.45,桂林南药股份
132,乳癖消片,0.34g*100p,瓶,24.69,辽宁好护士药业集团有限责任公司
133,乳酸钠林格注射液,500ml,瓶,6.6,石家庄四药股份有限公司
134,三金片,72片,盒,29.2,桂林三金
135,伤科接骨片,0.33g*60P,盒,35.82,大连美罗中药厂有限公司
136,蛇胆川贝液,10ml,盒,5.8,武汉太福制药有限公司
137,麝香保心丸,22.5mg*42粒,盒,29.8,上海和黄药业
138,麝香追风止痛膏,7cm×10cm*4贴,盒,48,重庆希尔安药业有限公司
139,生脉饮,10ml*8支,盒,10.93,四川
140,生血宝颗粒,4g*8袋,盒,27.81,湖南康寿制药有限公司
141,舒筋活血片,0.3g*48片,盒,12.66,库尔勒龙
142,双氯芬酸钠缓释胶囊,50mg*20片,盒,24.4,南京制药
143,双歧杆菌三联活菌胶囊,0.21g,36粒/瓶,30.22,上海上药信谊药厂有限公司
144,四妙丸,6g*12袋,盒,42.75,吉林紫鑫药业
145,松龄血脉康胶囊,每粒装0.5g,30粒/盒,22,成都康弘制药有限公司
146,速效救心丸,40mg*50s*3瓶,盒,38,天津中新药业集团有限公司
147,羧甲司坦口服溶液,10ml*0.5g*10支,盒,20.89,北京诚济制药股份有限公司
148,缩泉胶囊,0.3g*60粒,瓶,32,湖南汉森制药
149,天王补心丸,9克*10丸,盒,6.7,山西天生制药有限责任公司
150,通络祛痛膏,10片,盒,33.18,河南羚锐制药股份有限公司
151,通心络胶囊,每粒装0.26g,30粒/盒,26.38,石家庄以岭药业股份有限公司
152,通宣理肺颗粒,9g*10袋,盒,14.74,湖北午时
153,通宣理肺丸,6g*10丸,盒,5.1,山西天生制药有限责任公司
154,尪痹片,每片重0.5g,48片/盒,33.12,辽宁上药好护士药业（集团）有限公司
155,维生素B12注射液,1ml*10支*0.5mg,盒,3.5,河南润弘制药
156,维生素B1注射液,0.1g*10支,盒,0.43,天津金耀氨基酸有限公司
157,维生素B2片,5mg*100片,瓶,5.3,天津力生制药股份有限公司
158,维生素B6注射液,0.1g*2ml*10支,盒,0,山东方明
159,维生素C注射液,1g*5ml*5支,盒,3.395,成都倍特
160,维生素D2软胶囊,0.125mg*10粒,盒,48.49,大连水产药业有限公司
161,稳心颗粒,5g*9d,盒,26.24,山东步长制药有限公司
162,乌鸡白凤丸,9g*10w,盒,21.65,药都制药有限公司
163,乌灵胶囊,0.33g*9s*3板*2袋,盒,58.71,浙江佐力药业股份有限公司
164,腺苷钴胺片,0.25mg*100片,盒,31.78,石药集团欧意药业
165,香砂平胃颗粒,每袋装5g（无蔗糖）,6袋/盒,18.77,昆明中药厂有限公司
166,香砂养胃丸,9g10袋,盒,11.5,山西天生制药有限责任公司
167,逍遥丸,9克*10丸,盒,6.05,山西天生制药有限责任公司
168,消渴丸,210丸,盒,35,广州白云山制药股份有限公司广州白云山制药总厂
169,消银颗粒,3.5g,12袋/盒,25.26,陕西康惠制药股份有限公司
170,硝苯地平缓释片,20mg*45片,瓶,17.78,德州博诚制药有限公司
171,硝酸咪康唑乳膏,15g,支,4.9,福元药业
172,硝酸咪康唑栓,0.2g7粒,盒,2.2857,
173,硝酸异山梨酯片,5mg*100p,瓶,8,天津太平洋制药有限公司
174,小儿宝泰康颗粒,每袋装2.6克,18袋/盒,24.93,健民集团叶开泰国药（随州）有限公司
175,小儿柴桂退热颗粒,2.5*16袋,盒,39.6,葵花药业
176,小儿肺咳颗粒,2g*9袋,盒,27.08,长春人民药业
177,小儿肺热咳喘颗粒,4g,16袋/盒,45.62,海南葫芦娃药业集团股份有限公司
178,小儿热速清颗粒,6g*10d,盒,26.65,江西倍肯
179,小金胶囊,每粒装0.35克,9粒/盒,30.19,健民药业集团股份有限公司
180,心可舒片,0.31*72片,盒,30.66,山东沃华医药科技有限公司
181,醒脾养儿颗粒,2g*18袋,盒,25.5,贵州建兴
182,玄麦甘桔颗粒,10g*20袋,盒,28,四川彩虹
183,血栓心脉宁胶囊,每粒装0.5g,40粒/盒,0,
184,血脂康胶囊,每粒装0.3g,24粒/盒,26.08,北京北大维信生物科技有限公司
185,盐酸氨溴索口服溶液,30mg*15支,盒,9,国药
186,盐酸倍他司汀片,4mg*10片,盒,23.59,东普恒久远
187,盐酸吡格列酮片,15mg*28片,盒,2.1429,烟台
188,盐酸氟桂利嗪胶囊,5mg*20粒,盒,21.16,西安杨森制药有限公司
189,盐酸雷尼替丁胶囊,0.15g*30粒,瓶,9.5,上海衡山
190,盐酸利多卡因注射液,5ml,盒,2.3,
191,盐酸莫雷西嗪片,50mg*20s*2板,盒,0,丹东医创药业有限公司
192,盐酸羟甲唑啉喷雾剂,10ml：5mg2瓶/盒,盒,36.8,深圳大佛药业股份有限公司
193,盐酸消旋山莨菪碱注射液,10mg*10支,盒,2.38,杭州民生药业集团有限公司
194,养血清脑颗粒,4g*15袋,盒,31.29,天津天士力制药股份有限公司
195,养阴清肺丸,9克*10丸,盒,24.4,山西天生制药有限责任公司
196,叶酸片,5mg100片,瓶,19.8,甘肃兰药药业有限公司
197,一清颗粒,7.5g*12袋,盒,17,郑州福瑞堂制药
198,益母草颗粒,15g*10袋,盒,17,上海宝龙安庆药业有限公司
199,益气和胃胶囊,0.5g*36粒,盒,44.8,合肥立法制药有限公司
200,益气维血片,0.57g*24片,盒,30.77,广东红珊瑚
201,银丹心脑通软胶囊,0.4g*36s,盒,29.75,贵州百灵企业集团制药有限公司
202,银黄颗粒,0.4g*12,盒,14.4,河北国金药业有限
203,银翘解毒丸,9g10丸,盒,6.2,山西天生制药有限责任公司
204,瘀血痹片,0.5g*45片,盒,40,辽宁华润本溪三药有限公司
205,瘀血痹胶囊,0.4g*60粒/盒,盒,56.99,辽宁好护士药业（
206,云南白药胶囊,0.25g*32粒,盒,34.43,云南白药集团股份有限公司
207,云南白药气雾剂,50g,盒,29.26,云南白药集团股份有限公司
208,枣仁安神胶囊,0.45*50粒,盒,40.17,国药集团
209,珍珠明目滴眼液,10ml,支,8.5,武汉五景
210,正柴胡饮颗粒,3g*20袋,盒,32.9,精华制药集团股份有限公司
211,正清风痛宁片,20mg*60片,盒,34.54,湖南正清
212,知柏地黄丸,9g*10丸,盒,6.05,山西天生制药有限责任公司
213,注射用磷霉素钠,4g,支,39.8,东北制药
214,注射用哌拉西林钠,2.0g,瓶,21.8,瑞阳制药
215,注射用青霉素钠,160万,支,1.6,华北制药
216,注射用盐酸克林霉素,0.15g,支,6.35,武汉普生
217,追风透骨丸,6g*10袋,盒,45,广州白云山敬修堂药业
218,小儿化食口服液,10ml*18支,盒,42.75,广州市香雪制药股份有限公司
219,小儿热速清口服液,10ml*12支,盒,59.6,吉林一正药业集团
220,祖卡木颗粒,6g*6袋,盒,18.25,新奇康药业股份有限公司
221,银翘解毒颗粒,15g*10袋,盒,16.5,四川康乐制药有限公司
222,小儿肺热咳喘口服液,10ml*10支,盒,27.8,葵花药业
223,枳术宽中胶囊,0.43g*30粒,盒,34.47,朗致集团
224,补中益气颗粒,3g*6袋,盒,22.11,北京汉典制药
225,香砂养胃颗粒,5g*6袋,盒,42,黑龙江久久药业
226,磷酸奥司他韦颗粒,15mg*10袋,盒,45.68,湖北宜昌
227,盐酸维拉帕米片,40mg*20片,盒,39,天津中央药业有限公司
228,生血宝合剂,100ml/瓶,瓶,55,清华德人西安幸福制药有限公司
229,黄氏响声丸,0.133g*108丸/盒,盒,26.08,无锡济煜山禾药业股份有限公司
230,强力枇杷露,330ml/瓶,瓶,33.47,广西泰诺制药有限公司
231,养阴清肺颗粒,15g*8袋,盒,48,山西黄河中药
232,腰痹通胶囊,0.42g*30粒,盒,23.13,江苏康缘药业
233,复方南星止痛膏,10cm*13cm*4贴,盒,22.3,江苏康缘药业
234,桂枝茯苓胶囊,0.31g*50粒,盒,27.16,江苏康缘药业
235,疏风解毒胶囊,0.52*48粒,盒,44.99,安徽济人药业有限公司
236,玉屏风颗粒,5g*20袋,盒,0,国药集团广东环球制药有限公司
237,安胃疡胶囊,24粒,盒,31.18,新疆全按药业股份有限公司
238,狗皮膏,15g*6贴,盒,72,贵阳济仁堂
239,多潘立酮片,10mg*30片/盒,盒,12.6,西安杨森制药
240,感冒灵颗粒,10g*10袋/盒,盒,9.7,
241,普乐安胶囊,0.375g*60,瓶,16.8,
242,氨咖黄敏胶囊,10粒*1板,板,2.3,
243,参苓白术颗粒,6g*10袋/盒,盒,12.36,
244,藿香正气口服液,每支装10毫升*6支,盒,13.2,
245,双氯芬酸钠缓释片,0.1g*12片/盒,盒,13.9,
246,小儿氨酚黄那敏颗粒,1袋*10袋/盒,盒,5.65,
247,阿莫西林胶囊,0.25g*24粒/盒,盒,9.95,上海海虹实业(集
248,阿兹夫定片,1mg*35片/盒,盒,270,
